Brand,Category,"Product name",Price,"Description long","Description short",Stock,Public,"Feature input Страна Производитель","Feature input Тип","Feature input Пол","Feature input Возрастная Группа","Feature input Надувные Колеса","Feature input Количество Мест В Веломобиле","Feature input Материал Корпуса","Feature input Материал Колес","Feature input Ход Педалей","Feature input Тормоз","Feature input Особенности","Feature input Тип Коляски","Feature input Тип Кузова","Feature input Количество Мест В Электро-/Бензомобиле","Feature input Тематика","Feature input Материал","Feature input Тип Конструктора","Feature input Состояние","Feature input Упаковка","Feature input Размещение","Feature input Тип Мебели","Feature input Цвет (Оттенок) Мебели","Feature input Вид Стола По Своему Назначению","Feature input Наличие Надстройки","Feature input Наличие Ремней Безопасности","Feature input Съемный Чехол","Feature input Тип Качели","Feature input Материал Изготовления Каркаса","Feature input Комплектация Защитным Бампером","Feature input Подножка","Feature input Антискользящие Накладки На Ножках","Feature input Возраст","Feature input Цвет","Feature input Материал Изготовления","Feature input Способ Установки","Feature input Система Крепления","Feature input Точки Крепления Ребенка","Feature input Бустер","Feature input Подголовник","Feature input Опоры Стульчика","Feature input Вид Аксессуара","Feature input Тип Манежа","Feature input Опоры Манежа","Feature input Тип Кроватки","Feature input Материал Изготовления Манежа","Feature input Комплектация Пеленальным Столиком","Feature input Наличие Навесной Колыбели Для Младенцев","Feature input Оснащение Колесиков Системой Фиксации","Feature input Система Защиты От Произвольного Складывания","Feature input Карманы Для Аксессуаров","Feature input Сумка Для Переноски И Хранения Манежа","Feature input Боковой Вход Для Ребенка","Feature input Матрас","Feature input Крепление Прыгунков","Feature input Складная Конструкция Для Хранения И Транспортировки","Feature input Количество Источников Света","Feature input Ортопедические Свойства","Feature input Наполнение","Feature input Каркасный Рюкзак","Image 1"
Bambi,"Мега скидки до 50 %!!!!","Мега скидка!! Каталка-толокар Bambi 8209-4 синий ***",504,"ГАБАРИТНЫЙ РАЗМЕР:         длина 76     ширина 27     высота до спинки 33   ВЫСОТА ОТ ПОЛА ДО СИДЕНЬЯ   21   КОЛЕСА:   2   размер,см   13,5   пластик/EVA   пластик   в кор-ке   77-25-23",,1,1,Китай,,,"От 2 лет",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/737512826.jpg
Bamby,"Мега скидки до 50 %!!!!","Мега скидка!! КАТАЛКА-ТОЛОКАР Mercedes M 3189-1***",728,"Детская каталка-толокар M 3189Mercedes красный- имеет красивый и реалистичный дизайн, который выполнен в фирменном стиле автомобиля Мерседес, толокар оснащён красивыми фарами элегантной формы, спереди есть фирменная эмблема Мерседес. Детская каталка-толокар M 3189 имеет простое и удобное управление, поэтому ваш малыш быстро обучиться вождению, толокар снабжен багажным отделением, в нём малыш сможет возить игрушки, водичку и другие необходимые ребёнку аксессуары. Детский толокар M 3189 оборудован комфортным сиденьем, сзади есть спинка, корпус сделан из прочного пластика, широкие колёса позволяют ездить в доме и на улице, машинка снабжена музыкальным рулём, что сделает катание ещё веселее. <br />
 <br />
 Характеристики детской каталки-толокара M 3189: <br />
 <br />
 Реалистичный дизайн <br />
 Музыкальный руль <br />
 Комфортное сидение со спинкой <br />
 Звуковые эффекты <br />
 Широкие колеса EVA <br />
 Под сидением есть багажник <br />
 Материал корпуса: высококачественный ударопрочный пластик",,1,1,Китай,Машинка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/737551074.jpg
Bamby,"Мега скидки до 50 %!!!!","Мега скидка!! КАТАЛКА-ТОЛОКАР Mercedes M 3189-3***",728,"Детская каталка-толокар M 3189Mercedes красный- имеет красивый и реалистичный дизайн, который выполнен в фирменном стиле автомобиля Мерседес, толокар оснащён красивыми фарами элегантной формы, спереди есть фирменная эмблема Мерседес. Детская каталка-толокар M 3189 имеет простое и удобное управление, поэтому ваш малыш быстро обучиться вождению, толокар снабжен багажным отделением, в нём малыш сможет возить игрушки, водичку и другие необходимые ребёнку аксессуары. Детский толокар M 3189 оборудован комфортным сиденьем, сзади есть спинка, корпус сделан из прочного пластика, широкие колёса позволяют ездить в доме и на улице, машинка снабжена музыкальным рулём, что сделает катание ещё веселее. <br />
 <br />
 Характеристики детской каталки-толокара M 3189: <br />
 <br />
 Реалистичный дизайн <br />
 Музыкальный руль <br />
 Комфортное сидение со спинкой <br />
 Звуковые эффекты <br />
 Широкие колеса EVA <br />
 Под сидением есть багажник <br />
 Материал корпуса: высококачественный ударопрочный пластик",,1,1,Китай,Машинка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/737553097.jpg
Bamby,"Мега скидки до 50 %!!!!","Мега скидка!! КАТАЛКА-ТОЛОКАР Mercedes M 3189-7***",728,"Детская каталка-толокар M 3189Mercedes красный- имеет красивый и реалистичный дизайн, который выполнен в фирменном стиле автомобиля Мерседес, толокар оснащён красивыми фарами элегантной формы, спереди есть фирменная эмблема Мерседес. Детская каталка-толокар M 3189 имеет простое и удобное управление, поэтому ваш малыш быстро обучиться вождению, толокар снабжен багажным отделением, в нём малыш сможет возить игрушки, водичку и другие необходимые ребёнку аксессуары. Детский толокар M 3189 оборудован комфортным сиденьем, сзади есть спинка, корпус сделан из прочного пластика, широкие колёса позволяют ездить в доме и на улице, машинка снабжена музыкальным рулём, что сделает катание ещё веселее. <br />
 <br />
 Характеристики детской каталки-толокара M 3189: <br />
 <br />
 Реалистичный дизайн <br />
 Музыкальный руль <br />
 Комфортное сидение со спинкой <br />
 Звуковые эффекты <br />
 Широкие колеса EVA <br />
 Под сидением есть багажник <br />
 Материал корпуса: высококачественный ударопрочный пластик",,1,1,Китай,Машинка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/737554254.jpg
Bamby,"Мега скидки до 50 %!!!!","Мега скидка!! КАТАЛКА-ТОЛОКАР Mercedes M3189S-3***",980,"Детская каталка-толокар M 3189Mercedes красный- имеет красивый и реалистичный дизайн, который выполнен в фирменном стиле автомобиля Мерседес, толокар оснащён красивыми фарами элегантной формы, спереди есть фирменная эмблема Мерседес. Детская каталка-толокар M 3189 имеет простое и удобное управление, поэтому ваш малыш быстро обучиться вождению, толокар снабжен багажным отделением, в нём малыш сможет возить игрушки, водичку и другие необходимые ребёнку аксессуары. Детский толокар M 3189 оборудован комфортным сиденьем, сзади есть спинка, корпус сделан из прочного пластика, широкие колёса позволяют ездить в доме и на улице, машинка снабжена музыкальным рулём, что сделает катание ещё веселее. <br />
 <br />
 Характеристики детской каталки-толокара M 3189: <br />
 <br />
 Реалистичный дизайн <br />
 Музыкальный руль <br />
 Комфортное сидение со спинкой <br />
 Звуковые эффекты <br />
 Широкие колеса EVA <br />
 Под сидением есть багажник <br />
 Материал корпуса: высококачественный ударопрочный пластик",,1,1,Китай,Машинка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/737564238.jpg
Bamby,"Мега скидки до 50 %!!!!","Мега скидка!! КАТАЛКА-ТОЛОКАР Mercedes M3189S-2***",980,"Детская каталка-толокар M 3189Mercedes красный- имеет красивый и реалистичный дизайн, который выполнен в фирменном стиле автомобиля Мерседес, толокар оснащён красивыми фарами элегантной формы, спереди есть фирменная эмблема Мерседес. Детская каталка-толокар M 3189 имеет простое и удобное управление, поэтому ваш малыш быстро обучиться вождению, толокар снабжен багажным отделением, в нём малыш сможет возить игрушки, водичку и другие необходимые ребёнку аксессуары. Детский толокар M 3189 оборудован комфортным сиденьем, сзади есть спинка, корпус сделан из прочного пластика, широкие колёса позволяют ездить в доме и на улице, машинка снабжена музыкальным рулём, что сделает катание ещё веселее. <br />
 <br />
 Характеристики детской каталки-толокара M 3189: <br />
 <br />
 Реалистичный дизайн <br />
 Музыкальный руль <br />
 Комфортное сидение со спинкой <br />
 Звуковые эффекты <br />
 Широкие колеса EVA <br />
 Под сидением есть багажник <br />
 Материал корпуса: высококачественный ударопрочный пластик",,1,1,Китай,Машинка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/737565905.jpg
Bambi,Конструкторы,"Магнитный конструктор транспорт 96 деталей LT5001 ***",784,"Магнитный конструктор LT5001 96 деталей.<br />
 Уникальность каждого из элементов заключается в магнитных свойствах, которые создаются благодаря встроенным пластинам из магнита. Притягиваясь между собой, детали соединяются и удерживаются до тех пор, пока ребенок не проявит усилие и не разъединит их. Не смотря на такую простоту сборки с помощью магнитного конструктора можно создавать объемные поделки, строить сложные сооружения в 3D формате.",,1,1,Китай,"Игрушечные продукты",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/583823140.jpg
Bambi,Конструкторы,"Конструктор JUBILUX C0556 Спецназ 1663 дет ***",108332,"спецназ, машина, прицеп, фигурки, 1663дет, в кор-ке",,1,1,Китай,,,"От 3 лет",,,,,,,,,,,Корабли,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/550256797.jpg
Bambi,Конструкторы,"Магнитный конструктор 3D Miracle Magnetic DZ-9060 (60 детал) ***  ",62132,"магнитный, 60дет, в кор-ке",,1,1,Китай,"Игрушечные продукты",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/671574612.jpg
Bambi,Конструкторы,"Конструктор JUBILUX C0558 Спецназ 2393 дет ***",154560,"спецназ, машина, вертолет, фигурки, 2393дет, в кор-ке",,1,1,Китай,,,"От 3 лет",,,,,,,,,,,Корабли,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/550260427.jpg
Bambi,Конструкторы,"Магнитный конструктор Magical Magnet M086 (86 деталей) ***",72268,"Раскрыв игровой набор, в его комплекте ребенок найдет 86 деталей для строительства разнообразных поделок: квадраты, ромбы, прямоугольники, трапеции, многоугольники, колеса, подставки, стойки. Отличительные особенности этой модели конструктора - мини детали. На начальном этапе в помощь будет инструкция в картинках, которая поможет ребенку быстро освоить азы моделирования. Также с покупкой конструктора в подарок ребенку будет прилагаться большая книжка-инструкция с множеством вариантов поделок, которые можно собрать, используя обычные геометрические фигурки из набора. Благодаря полученному бесценному опыту и собственной фантазии уже скоро ребенок сможет самостоятельно придумывать новые фигуры, изделия, сооружения.<br />
 <br />
 Высокое качество конструктора<br />
 <br />
 Магнитные конструкторы созданы для игр детей от 3 лет и старше. Мелкие детали не имеют острых выступов, поэтому травмы исключены. Пластик, из которого произведен части, не сдержит вредных веществ, которые могут выделять токсины. Красочные расцветки еще больше увлекают ребенка в творческий строительный процесс.<br />
 <br />
 Набор конструктора имеет европейские сертификаты качества.<br />
 <br />
 Польза от игры в конструктор<br />
 <br />
 Благодаря небольшому размеру элементы конструктора удобно помещаются в руках, ловко удерживаются пальцами, влияя при этом на развитие мелкой моторики. Многообразие форм разноцветных деталей способствует тому, чтобы ребенок в младшем возрасте смог в игровой форме весело выучить названия геометрических фигур, цвета, а также счет. Веселое моделирование помогает развитию воображения, мышления, фантазии.<br />
 <br />
 Рекомендованный возраст: от 3+<br />
 Количество деталей: 86<br />
 Размер деталей: прямоугольник 4,2 см, треугольник 3,7 см, шестигранник 4,2 см, колесо 9,3 см<br />
 Размер: 44х35х5 см<br />
 Материал : пластик",,1,1,Китай,"Игрушечные продукты",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/616950425.jpg
Bambi,Конструкторы,"КОНСТРУКТОР BRICK 820 ВОЕННАЯ СЕРИЯ  614 дет***, фото 1",48608,"В комплекте с кораблем 7 фигурок (5 моряков и 2 бандита) с оружием, биноклями, три ракеты, катер, вертолет. Борт корабля открывается из него выдвигается шлюпка. Стреляющая пушка на корабле и две стреляющие ракетные установки. Пушка и ракетная установка корабля могут поворачиваться. Двери открываются. Из набора конструктора также можно собрать два типа морских баз.",,1,1,Китай,,,"От 3 лет",,,,,,,,,,,Корабли,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/329520002.jpg
Bambi,Конструкторы,"Магнитный конструктор Magnetic фигуры LT1003 на 104 деталей ***",73696,"магнитный, 104дет, в кор-ке",,1,1,Китай,"Игрушечные продукты",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/655305862.jpg
Bambi,Конструкторы,"Магнитный конструктор Magnetic морские обитатели LT2001, 88 деталей ***",66948,"магнитный, морские обитатели, 88дет, в кор-ке",,1,1,Китай,"Игрушечные продукты",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/655305409.jpg
Bambi,Конструкторы,"Конструктор Brick 113 &#34;Авианосец&#34; (208886)***",71260,"Конструктор Brick 113 ""Авианосец"" (208886) Детский пластмассовый конструктор Brick 208886/113 ""Авианосец"" входит в серию Century Military совместим с конструкторами Lego. Детский развивающий конструктор предназначен для детей от семи лет. С помощью конструктора ребенок научится создавать свои конструкции (машины, мосты, дома, дороги). Игра будет способствовать концентрации внимания, усидчивости, координации движения, развивает мышление, ребенок может с друзьями играть в сюжетно-ролевые игры.<br />
 Набор детской развивающей игрушки-конструктора Брик 208886/113 состоит из 990 элементов для создания большого военного корабля. В конструкторе предусмотрены ряд игровых операций:<br />
 -стреляющие ракетные установки,<br />
 -грузовой лифт для самолетов опускается и поднимается,<br />
 Рисунки пластмассового конструктора Брик 208886/113 Авианосець устойчивы к истиранию, в комплект входят:<br />
 ― фигурки солдат,<br />
 ― военные самолеты,<br />
 ― антенны,<br />
 ― наклейки и еще множество деталей для игры,<br />
 ― можно собрать военный самолет или подводную лодку.<br />
 Размеры авианосца в сборе: длина 63 см, ширина 9 см, высота 35 см.<br />
 Детский конструктор Brick Aircraft Carrier изготовлен из высококачественной пластмассы, детали надежно скрепляются между собой, но для разборки не нужно прилагать много усилий. Размер коробки: 60х33х8см. Доставка в любой город Украины любым видом почты!!!",,1,1,Китай,,,,,,,,,,,,,,Корабли,Пластик,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/129424658.jpg
Metr+,Конструкторы,"Конструктор-липучка Bunchems(Банчемс) 1200 деталей ***",643,"Мягкий конструктор-липучка Bunchems Mega Pack 1200 - набор разноцветных шариков, которые прилипают друг к другу по принципу репейника и превращаются во множество различных цветных фигурок. Ваш малыш будет в восторге от того, как быстро и легко он может собрать из Bunchems обезьянку, машинку, собачку и все, что подскажет его фантазия (и приложенная инструкция). При этом, играя, ребенок развивает мелкую моторику, воображение и усидчивость. Приобрести конструктор-липучки Bunchems — значит сделать вклад в будущее своего ребенка, сделать его более креативным и свободно мыслящим. В комплекте с шариками предоставляются различные аксессуары, благодаря использованию которых можно создавать самые различные фигурки. Конструктор подходит для детей от трёх лет и способен на долгое время увлечь вашего малыша, проверено на тысячах детей по всему миру, подтверждено родителями!",,1,1,Китай,,Унисекс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/494918020.jpg
Bambi,Конструкторы,"Магнитный конструктор Magnetic динозавры LT2003, 97 деталей ***",76412,"магнитный, транспорт, 87дет, в кор-ке",,1,1,Китай,"Игрушечные продукты",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/655304725.jpg
Metr+,Конструкторы,"Конструктор-липучка Bunchems Alive 500 деталей ",690,";showinfo=1</a>&amp;disablekb=0&amp;modestbranding=0"" width=""560"">Конструктор Банчемс (Bunchems) — это набор мягких разноцветных шариков, с мягкими иголочками, загнутыми на концах. Эти пушистые шарики липнут друг к другу как репейники. Благодаря этому свойству, ваш малыш за считанные минуты сможет собрать из них оригинальные фигурки: машинку, собачку, обезьянку. Из Bunchems можно собрать хоть целый город! В общем, всё, на что хватит фантазии! Во время игры происходит развитие мелкой моторики и усидчивости. Мягкий конструктор-липучка прекрасно подойдёт как для девочек, так и для мальчиков. В комплекте также идут дополнительные аксессуары, которые позволят «оживить» собранные фигурки.",,1,1,Китай,,Унисекс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/459458784.jpg
Bambi,Конструкторы,"Магнитный конструктор Magnetic транспорт LT3003, 87 деталей ***",74480,"магнитный, транспорт, 87дет, в кор-ке",,1,1,Китай,"Игрушечные продукты",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/655301557.jpg
