Brand,Category,"Product name",Price,"Description long","Description short",Stock,Public,"Feature input Страна Производитель","Feature input Тип","Feature input Пол","Feature input Возрастная Группа","Feature input Надувные Колеса","Feature input Количество Мест В Веломобиле","Feature input Материал Корпуса","Feature input Материал Колес","Feature input Ход Педалей","Feature input Тормоз","Feature input Особенности","Feature input Тип Коляски","Feature input Тип Кузова","Feature input Количество Мест В Электро-/Бензомобиле","Feature input Тематика","Feature input Материал","Feature input Тип Конструктора","Feature input Состояние","Feature input Упаковка","Feature input Размещение","Feature input Тип Мебели","Feature input Цвет (Оттенок) Мебели","Feature input Вид Стола По Своему Назначению","Feature input Наличие Надстройки","Feature input Наличие Ремней Безопасности","Feature input Съемный Чехол","Feature input Тип Качели","Feature input Материал Изготовления Каркаса","Feature input Комплектация Защитным Бампером","Feature input Подножка","Feature input Антискользящие Накладки На Ножках","Feature input Возраст","Feature input Цвет","Feature input Материал Изготовления","Feature input Способ Установки","Feature input Система Крепления","Feature input Точки Крепления Ребенка","Feature input Бустер","Feature input Подголовник","Feature input Опоры Стульчика","Feature input Вид Аксессуара","Feature input Тип Манежа","Feature input Опоры Манежа","Feature input Тип Кроватки","Feature input Материал Изготовления Манежа","Feature input Комплектация Пеленальным Столиком","Feature input Наличие Навесной Колыбели Для Младенцев","Feature input Оснащение Колесиков Системой Фиксации","Feature input Система Защиты От Произвольного Складывания","Feature input Карманы Для Аксессуаров","Feature input Сумка Для Переноски И Хранения Манежа","Feature input Боковой Вход Для Ребенка","Feature input Матрас","Feature input Крепление Прыгунков","Feature input Складная Конструкция Для Хранения И Транспортировки","Feature input Количество Источников Света","Feature input Ортопедические Свойства","Feature input Наполнение","Feature input Каркасный Рюкзак","Image 1"
Bambi,Конструкторы,"КОНСТРУКТОР BANBAO 7101",733,"пожарная станция,машина,мотоц,фигурки5шт,828дет,в кор",,1,1,Китай,,,"От 3 лет",,,,,,,,,,,Корабли,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/329519256.jpg
Bambi,Конструкторы,"Конструктор JDLT 5095 &#34;Зоопарк&#34; 120 деталей ",74564,"Конструктор JDLT 5095 «Зоопарк» способствует развитию мелкой моторики пальчиков, развитию логического и пространственного мышления. В собранном виде отлично подходит для сюжетных и ролевых игр. <br />
 <br />
 Предназначен для детей от 3-х лет и старше. <br />
 <br />
 Конструктор Зоопарк 5095 состоит из 120 деталей. <br />
 <br />
 Из них можно собрать большой зоопарк, в октором разместить фигурки зверей. <br />
 <br />
 Материал – нетоксичный пластик. Края деталей закругленные. Детали хорошо соединяются между собой. <br />
 <br />
 Упаковка - картонная коробка со смотровым окном (45х35х8 см).",,1,1,Китай,,,"От 3 лет",,,,,,,,,,,Корабли,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/301952410.jpg
Bambi,Конструкторы,"Конструктор SY832 Дом на дереве 754 дет ***",64680,"FRN, дом, горка, фигурки, 754дет, в кор-ке",,1,1,Китай,,,"От 3 лет",,,,,,,,,,,Корабли,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/550260686.jpg
Bambi,Конструкторы,"Конструктор JDLT 5025 &#34;Зоопарк&#34; 133 детали ",896,"Конструктор JDLT 5025 ""Зоопарк"" предназначен для детей старше 3 лет. <br />
 <br />
 Способствует развитию их сенсорного опыта и интеллектуально-познавательному развитию. <br />
 <br />
 Веселые зверята создают хорошее настроение и вызывает положительные эмоции. <br />
 <br />
 Конструктор JDLT 5025 ""Зоопарк"" состоит из 133 деталей. <br />
 <br />
 В комплект конструктора входят: <br />
 <br />
 - медвежонок 2 шт.; <br />
 <br />
 - лев; <br />
 <br />
 -слон; <br />
 <br />
 -зебра; <br />
 <br />
 -жираф; <br />
 <br />
 -различные детали интерьера для зоопарка и фигурки живой природы. <br />
 <br />
 Конструктор JDLT 5025 ""Зоопарк"" имеет крупные детали, совместимые с LEGO Duplo. <br />
 <br />
 Упаковка - яркая коробка (60х45х12).",,1,1,Китай,,,"От 3 лет",,,,,,,,,,,Корабли,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/301958718.jpg
Bambi,Конструкторы,"Конструктор Brick 208885/112 Корабль ***",53480,"970 деталей<br />
 	фигурки 2 штуки При помощи этого увлекательного игрового набора малыш сможет собрать настоящий военный корабль, вооруженный мощной военной техникой. Этот замечательный корабль пополнит коллекцию моделей военных игрушек вашего ребенка. Рекомендовано купить Конструктор BRICK 208885/112 Корабль детям от 7 лет. Собрав военное судно, ребенок сможет придумывать самые необыкновенные военные сюжеты.<br />
 	Набор содержит 970 деталей. Для успешной сборки блоков конструктора имеется подробная, красочно изготовленная инструкция. С таким прекрасным набором ребенок не будет скучать, а сам корабль с множеством  пушек, радаров и даже вертолетом приведет малыша в полный восторг. Корабль прекрасно подходит для самостоятельной или индивидуальной игры.<br />
 	Сборка деталей конструктора развивает память, внимание, моторику пальцев и фантазию ребенка. Малыш учится принимать участие в ролевой игре. В игровой набор входят две фигурки бравых мореплавателей.<br />
 	При отличном качестве и больших возможностях для игры, цена на Конструктор BRICK 208885/112 Корабль остается вполне доступной.<br />
 	Набор поставляется в коробке размерами 605 х 305 х 80 мм, в подарочном выполнении. 	ь два типа морских баз.",,1,1,Китай,,,"От 3 лет",,,,,,,,,,,Корабли,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/558029699.jpg
Bambi,Конструкторы,"Детский игровой учебный стол-конструктор 3in1  AR811-9M Table Set Type ***",90776,"50-50см, стульчик, в кор-ке",,1,1,Китай,,,"От 6-ти месяцев",,,,,,,,,,,,,Стол-конструктор,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/590108602.jpg
Bambi,Конструкторы,"Конструктор  635016 Транспорт на 1628 дет***",88088,"транспорт, здание, фигурки, оружие, 1628дет, в кор-ке",,1,1,Китай,,,"От 3 лет",,,,,,,,,,,Корабли,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/550228682.jpg
Bambi,Конструкторы,"Конструктор WinFun 1600-01",532,"35дет,обуч,муз,звук(3англ.букв),свет,наклейки",,1,1,Китай,,Унисекс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/48699762.jpg
Metr+,Конструкторы,"Набор инструментов конструктор 8424",470,"Игровой модуль для маленьких исследователей, который сочетает в себе набор инструментов и конструктор. <br />
 <br />
 <br />
 <br />
 Всего в наборе 46 деталей. <br />
 <br />
 <br />
 <br />
 Материал: пластик.",,1,1,Китай,,,"От 3 лет",,,,,,,,,,,Корабли,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/464178715.jpg
Metr+,Конструкторы,"Конструктор JDLT 5016 Зоопарк 73 детали",540,"В этом зоопарке живет множество животных. За ними нужно ухаживать! Покорми слона бананами, построй удобное жилище для льва и львицы, вольер для жирафа. Для зебры посади травку. <br />
 Набор включает фигурки животных, декорации деревьев и растений, блоки для построек. <br />
 Море эмоций и новых идей для игры! <br />
 Красочный конструктор для малышей не оставит детей равнодушными своим множеством крупных, красочных, разнообразных деталей. <br />
 Зоопарк - это не просто развлекательный конструктор, а в первую очередь наглядное пособие по изучению животных. Очень понравится любителям зверюшек! Здесь детки найдут слонов, жирафов, белого медведя, львицу и т. д. , за ними можно ухаживать, с ними можно играться. Малыши весело проведут время!",,1,1,Китай,,,"От 3 лет",,,,,,,,,,,Корабли,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/455647746.jpg
Bambi,Конструкторы,"Конструктор Brick 816 &#34;Подводная лодка&#34;",392,"Конструктор Brick 816 Подводная лодка входит в серию ""Зона боевых действий"" и совместим с конструкторами Lego. С его помощью ребенок научится создавать свои конструкции. Игра способствует концентрации внимания, координации движения, развитию умения логически и творчески мыслить. <br />
 Набор детской развивающей игрушки-конструктора Brick 816 Подводная лодка состоит из 382 пластмассовых элементов для создания подводной лодки и батискафа. Из этих элементов также можно собрать истребитель или другую модель подводной лодки. В комплект входят четыре фигурки подводников и костюм аквалангиста с инструментами. <br />
 В конструкторе предусмотрены ряд игровых операций: <br />
 -при нажатии рычага происходит сброс торпед; <br />
 -дверь кабины открывается, внутри субмарины можно разместить фигурки подводников. <br />
 Детский конструктор Brick 816 Ракетная установка серии ""Combat zone"" изготовлен из высококачественной пластмассы. Детали надежно скрепляются между собой, но для разборки не нужно прилагать много усилий. Набор имеет четкую инструкцию в картинках. <br />
 Раньше конструкторы Brick (Брик), производимые шанхайской компанией Enlighten, копировали старые серии Lego. Теперь же разрабатываются свои уникальные наборы, не повторяющие других производителей. И хотя некоторые из серий конструкторов (по оформлению) напоминают аналогичные серии Лего, сейчас же компания Enlighten в основном занимается выпуском собственных разработок. По качеству они не уступают более дорогим Lego и Mega Bloks, но при этом стоят значительно дешевле. <br />
 Детский развивающий конструктор Брик 816 предназначен для детей от шести лет. <br />
 Упаковка: картонная коробка размером 41х27х7 см",,1,1,Китай,,Унисекс,"От 6 лет",,,,,,,,,,,,Пластик,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/127227101.jpg
Metr+,Конструкторы,"Игровой столик с конструктором 8805-8806",616,"игр.столик,стул,фигур,2 вида(1в-248дет,2в-180дет), в кор-ке,45-45,5-14",,1,1,Китай,,,"От 3 лет",,,,,,,,,,,Корабли,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/408489730.jpg
Bambi,Конструкторы,"Конструктор BRICK Полицейская серия 457832/128",308,"Конструктор BRICK Полицейская серия 457832/128 Конструктор BRICK Полицейская серия 457832/128. Мобильный полицейский штаб. Для детей от 6 лет. Цвет: соответствует картинке. Упаковка: подарочная коробка. Размер упаковки: 29-29-6см. Доставка в любой город Украины любым видом почты!!!",,1,1,Китай,,,"От 1 года",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/132078097.jpg
Bambi,Конструкторы,"Конструктор &#34;Маленький паровозик Розовая мечта&#34; М 5337",728,"Конструктор ""Маленький паровозик Розовая мечта"" М 5337 Конструктор ""Маленький паровозик Розовая мечта"" М5337 <br />
 <br />
 93 детали <br />
 <br />
 Фантастическая красочная железная дорога-конструктор «Маленький паровозик» со звуковыми и световыми эффектами.Маленький паровозик перевозит на себе кубики с буквами и цифрами, с помощью которых можно складывать слова и изучать счет. Игрушка дает множество возможностей для развлечения, обучения, игры. Конструктор исполнен в нежно-розовых тонах, специально для маленькой принцессы <br />
 <br />
 Способствует изучению: <br />
 <br />
 букв и цифр <br />
 составления слов <br />
 чтения и счета <br />
 <br />
 В комплекте: <br />
 <br />
 86 детали <br />
 33 кубика с цифрами и буквами <br />
 2 фигурки <br />
 <br />
 Музыкальные и световые эффекты. <br />
 <br />
 Работает от батареек.  Доставка в любой город Украины любым видом почты!!!",,1,1,Китай,,Унисекс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/163263243.jpg
"Active Kids",Конструкторы,"Конструктор JDLT 5243 Парк Динозавров  ",790,"конструктор JDLT 5243 JW Парк Юрского Периода Jurassic World, 135 деталей  JDLT представляет вашему вниманию знаменитую серию JW Парк Юрского Периода Jurassic World!   Это великолепный подарок для ребенка!   Конструктор способствует развитию мелкой моторики пальчиков, развитию логического и пространственного мышления. В собранном виде отлично подходит для сюжетных и ролевых игр.  Конструктор ""Парк Юрского Периода"" имеет крупные детали, совместимые с LEGO Duplo. Детали яркие",,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/413313257.jpg
Bambi,Конструкторы,"Конструктор &#34;Зоопарк&#34; JDLT (5036) 69 дет ***",36792,"В этом зоопарке живет множество животных. За ними нужно ухаживать! Покорми слона бананами, построй удобное жилище для льва и львицы, вольер для жирафа. Для зебры посади травку. <br />
 Набор включает фигурки животных, декорации деревьев и растений, блоки для построек. <br />
 Море эмоций и новых идей для игры! <br />
 Красочный конструктор для малышей не оставит детей равнодушными своим множеством крупных, красочных, разнообразных деталей. <br />
 Зоопарк - это не просто развлекательный конструктор, а в первую очередь наглядное пособие по изучению животных. Очень понравится любителям зверюшек! Здесь детки найдут слонов, жирафов, белого медведя, львицу и т. д. , за ними можно ухаживать, с ними можно играться. Малыши весело проведут время!",,1,1,Китай,,,"От 3 лет",,,,,,,,,,,Корабли,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/550228282.jpg
Bambi,Конструкторы,"Конструктор &#34;Паровозик Томас&#34; M 5336 железная дорога",728,"Конструктор ""Паровозик Томас"" M 5336 железная дорога Детская железная дорога игрушка – это идеальный вариант для творческих детей. Возможность самостоятельного конструирования – это увлекательная работа, в процессе которой совершенствуются навыки моторики, одновременно задействованы детское мышление и воображение. А главное ― это те положительные эмоции, которые ребёнок получает в процессе игры. Музыкальные и световые эффекты. Поезд ездит по рельсам.  <br />
 <br />
 Способствует обучению: <br />
 букв и цифр; <br />
 составления слов; <br />
 чтения и счету. <br />
 <br />
 Артикул: М 5336 UR; <br />
 Страна производитель: Китай; <br />
 Бренд: Limo Toy; <br />
 Материал: Пластик; <br />
 Возрастная группа: 3+; <br />
 Количество деталей: 86; <br />
 Комплектация: 2 фигурки, 33 кубика с цифрами и буквам; <br />
 Размер упаковки: 59 х 42 х 9 см.  Доставка в любой город Украины любым видом почты!!!",,1,1,Китай,,,"От 1 года",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/163265393.jpg
Bambi,Конструкторы,"Магнитный 3D конструктор J-14A в чемодане на 76 дет аналог MAGFORMERS ***",97552,"магнитный, 76дет, в чемодане, в кор-ке",,1,1,Китай,"Игрушечные продукты",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/592283476.jpg
"Active Kids",Конструкторы,"Конструктор детский SLUBAN 619934/M38B0129 -Пиратская серия, корабль",497,"ВНИМАНИЕ!!!Цена снижена из-за помятости коробки!!! <br />
 Детский конструктор SLUBAN 619934/M 38 B 0129 ""Пиратский корабль"" (632 дет) Конструктор SLUBAN ""Пиратский корабль"" ― это качественная и развивающая игрушка для Вашего ребенка. В комплект входит 632 детали. Из них Ваш ребенок соберет отличный пиратский кораблик, с настоящими парусами. В наборе: -якорь, -блоки, -паруса, -фигурки пиратов, -заборчики, -пушки и остальные необходимые детали для построения настоящего корабля. Все детали красочные, тем самым привлекают внимание малыша. Многие из них подвижные. Конструктор помогает развивать усидчивость, логику, мелкую моторику рук, фантазию и сосредоточенность. Упакован конструктор в картонную коробку размерами: 54-47-8,5см",,1,1,Китай,,,"От 3 лет",,,,,,,,,,,Корабли,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/222042527.jpg
Metr+,Конструкторы,"КОНСТРУКТОР М 5338 UR",784,"Подробное описание: Способствует обучению:  букв и цифр составления слов чтения и счету  В комплекте:  90 детали 33 кубика с цифрами и буквами 2 фигурки  Музыкальные и световые эффекты.  ",,1,1,Китай,,,"От 3 лет",,,,,,,,,,,Корабли,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/329518825.jpg
Bambi,Конструкторы,"Конструктор  Замок принцессы 1116 на  743 дет ***",58968,"Детские конструкторы считаются универсальным учебным пособием, которое развивает моторику рук, мышление, память, фантазию, а также множество других навыков, которые пригодятся ребёнку в будущем. Известно, что уровень развития ребёнка находится в прямой зависимости от степени сформированности тонких движений пальцев рук. Влияние мануальных (ручных) действий на развитие мозга человека было известно ещё во II веке до н. э.<br />
 -фигурки разного размера аналог лего<br />
 -743дет<br />
 -в коробке",,1,1,Китай,"Игрушечные продукты",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/600098076.jpg
Bambi,Конструкторы,"КОНСТРУКТОР 50060",507,"  ОПИСАНИЕ ТОВАРА  ·        Замок ·        Карета с лошадкой ·        6 фигурок обитателей ·        Предметы интерьера ·        Аксессуары Пошаговые иллюстрированные цветные инструкции. Детали конструкторов BEST-LOCK™ надежно фиксируются и совместимы с деталями конструкторов других брендов. Конструкторы BEST-LOCK™ произведены из прочного, нетоксичного пластика и соответствуют международным стандартам качества.  ",,1,1,Китай,,,"От 3 лет",,,,,,,,,,,Корабли,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/329518929.jpg
Bambi,Конструкторы,"Конструктор &#34;Железная дорога&#34; LIMO TOY M 0444 U/R ***",55328,"магнитный, 46дет, в кор-ке",,1,1,Китай,"Игрушечные продукты",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/592841632.jpg
Bambi,Конструкторы,"Магнитный 3D конструктор JH8819 Дом  аналог MAGFORMERS ***",73024,"Игрушка Конструктор Магнитный 718 создана для детей любых возрастов и будет для них лучшим презентом. Комплект включает в себя 102 детали. Игрушка изготовлена из пластика и уложена по одному. элементы соединяются посредством магнита. Конструктор Магнитный 718 подходит для братьев и сестер. Играть ей допустимо в любое время года. Привлекательней всего играть одному ребенку, но допустимо разным количеством играющих.",,1,1,Китай,"Игрушечные продукты",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/588569513.jpg
Metr+,Конструкторы,"Конструктор SLUBAN M38-B0339",420,"трейлер ,машинки 3шт, фигурки, 638дет, в кор-ке",,1,1,Китай,,,"От 3 лет",,,,,,,,,,,Корабли,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/374800399.jpg
Bambi,Конструкторы,"Магнитный 3D конструктор JH8820B-23 Дом на 55 дет аналог MAGFORMERS ***",78344,"магнитный, дом, 2вида(57дет,55дет), в кор-ке",,1,1,Китай,"Игрушечные продукты",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/588569768.jpg
Bambi,Конструкторы,"Магнитный конструктор Magical Magnet музыка, свет 703A (52 детали) ***",64316,"Магнитный конструктор Magical Magnet это развивающий конструктор из простых форм. В комплект входят разноцветные детали геометрических форм (квадраты, треугольники, пятигранники и тд). Внутри по периметру формы находится магнит, он обеспечивает надежное сцепление двух элементов.<br />
 <br />
 Магниты Magical Magnet достаточно сильные, собрав фигуру, она будет сохранять форму и не развалится. Конструктор Magical Magnet очень интересен детям и главное очень полезен. Развивает пространственное мышление, воображение, с ранних лет учит ребенка оценивать ситуацию, принимать правильное решение и видеть результат. Благоприятно влияет на нервную систему и развивает мелкую моторику рук.<br />
 <br />
 По качеству не уступает дорогостоящим аналогам, не имеет постороннего запаха. Отпускается в цветной коробке и по приемлемой цене.<br />
 <br />
 Характеристики:<br />
 <br />
 количество деталей: 52<br />
 тип конструктора: магнитный",,1,1,Китай,"Игрушечные продукты",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/615723313.jpg
Bambi,Конструкторы,"Конструктор магнитный, музыка, свет XINBIDA 704A (71 деталь) ***",79408,"Магнитный конструктор – это проводник ребенка в мир 3D-моделирования. Из простейших геометрических фигур – можно составлять немыслимые объемные фигуры. В ребрах фигур “спрятаны” маленькие магниты, благодаря которым конструктор можно использовать многократно и без особых усилий.<br />
 Магниты достаточно мощные и обеспечивают должное качество сцепки. Детали разноцветные и прочные.<br />
 Разноцветные фигуры помогут развитию абстрактного мышления и логики маленьких изобретателей.<br />
 Свето-звуковой эффект: в основании для колеса обозрения мигают огоньки и играет мелодия.<br />
 Конструктор состоит из деталей простых геометрических форм: треугольников, квадратов и шестиугольников, которые легко соединяются между собой силой магнитного притяжения.<br />
 В наборе 71 деталь для конструирования.:<br />
 - треугольник 12 шт<br />
 - квадрат 24 шт<br />
 - шестиугольник 2 шт<br />
 - равнобедренный треугольник 8 шт<br />
 - основа с колесами 2 шт<br />
 - кронштейн колеса обозрения 8 шт<br />
 - карточки 15 шт",,1,1,Китай,"Игрушечные продукты",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/615724986.jpg
Bambi,Конструкторы,"Конструктор парк развлечений 88001 на 162дет **",84896,"замок, парк развлечений, фигурки, 162дет, в кор-ке",,1,1,Китай,"Игрушечные продукты",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/588569305.jpg
Bambi,Конструкторы,"Магнитный 3D конструктор JH6887 транспорт  аналог MAGFORMERS ***",123508,"магнитный, транспорт, 66дет, в кор-ке",,1,1,Китай,"Игрушечные продукты",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/588569375.jpg
Bambi,Конструкторы,"Конструктор Магнитный 713 (58 деталей) ***",62076,"С нашими яркими и безумно интересными игрушками вашему малышу не придётся скучать, и любой день будет наполнен увлекательными и одновременно познавательными играми.<br />
 <br />
 Насыщенные цвета и разнообразные формы будут стимулировать детское воображение и фантазию, развивать внимание, цветовое и звуковое восприятие, моторику и координацию.<br />
 <br />
 Подарите крохе Конструктор магнитный, 58 деталей, и море положительных эмоций обеспечено.",,1,1,Китай,"Игрушечные продукты",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/615728694.jpg
Bambi,Конструкторы,"Магнитный 3D конструктор  в чемодане с алфавитом JH6899A  аналог MAGFORMERS *** ",64792,"магнитный, буквы(англ), в чемодане",,1,1,Китай,"Игрушечные продукты",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/587930346.jpg
Bambi,Конструкторы,"Магнитный конструктор Xinbida Magical Magnet 719 (76 деталей) ***",65744,"магнитный, 76дет, в кор-ке",,1,1,Китай,"Игрушечные продукты",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/615729625.jpg
Bambi,Конструкторы,"Конструктор пожарная часть 1236 ***",68012,"Сюжетные игры детей теперь станут намного увлекательнее и интереснее, ведь в их распоряжении появится красивая крепость с откидывающимися воротами и фигурки рыцарей, которые защищают ее от грозного дракона. А передвигаться герои игры будут на лошадях, в седло которых фигурки легко вставляются. Особенности: - Набор особенно понравится мальчикам и позволит им разыграть увлекательный сюжет игры об отважных рыцарях. - А декорациями этого развлечения станет красивая крепость с откидывающейся дверцей, резными окошками и декоративными гербами. - В комплекте есть и фигурки главных героев в доспехах и с оружием в руках, а сражаться они будут с грозным драконом, сидя верхом на своих лошадках. - Реалистичность этому игровому сюжету придадут световые эффекты в виде вылетающего из пасти дракона пламени, а звучание приятной мелодии создаст весёлую атмосферу. - Элементы набора и фигурки выполнены из безопасного и высококачественного пластика, который не деформируется от ударов и окрашен яркими, стойкими к истиранию красителями. - Дети с удовольствием проявят фантазию, придумывая сюжет для игры, а также улучшат мелкую моторику, расставляя героев. Характеристики: Возраст: от 1,5 лет. Размеры замка: 41 х 29 х 10 см. В комплекте: замок, 7 фигурок. Питание: 2 батарейки АА (в комплекте). Упаковка: картонная коробка с блистером. Материал: пластик. Производитель: Keenway.",,1,1,Китай,"Игрушечные продукты",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/626105578.jpg
Bambi,Конструкторы,"Конструктор Нинзяго 31011 на 1193 дет ***",79128,"NJ, база, фигурки, 1193дет, в кор-ке",,1,1,Китай,"Игрушечные продукты",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/626106428.jpg
Bambi,Конструкторы,"Магнитный 3D конструктор QF8111E на 46 дет аналог MAGFORMERS ***",68572,"магнитный, 46дет, в кор-ке",,1,1,Китай,"Игрушечные продукты",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/592297767.jpg
Bambi,Конструкторы,"	Конструктор SLUBAN Загородный Дом M38-B0536 ***",54152,"Конструктор SLUBAN M38-B0536 Детский конструктор – лучшая развивающая игрушка всех времен. Собирая его, дети в процессе игры учатся последовательности и аккуратности, развивают мышление и координацию – и все это без какого-либо давления со стороны взрослых!<br />
 Особенности конструктора Sluban Загородный домик:<br />
 материал: пластик;<br />
 726 деталей;<br />
 в комплекте 6 фигурок(+1 фигурка-брелок);<br />
 машинка, велосипед, скейт, собачка;<br />
 для детей от 6-ти лет;<br />
 размер упаковки: 52х38х8 см",,1,1,Китай,"Игрушечные продукты",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/564926878.jpg
Bambi,Конструкторы,"Магнитный конструктор Magical Magnet Автотехника 46 деталей 7046A ***",46284,"Конструктор — это целый мир, который ребёнок придумывает, строит и изменяет сам. Поэтому чем больше деталей, тем интереснее играть! Благодаря крупному размеру блоков держать их удобно даже самым маленьким. Во время игры с конструктором детки развивают моторику, усидчивость, логическое мышление и воображение. Набор выполнен из пластмассы высокого качества магнитный, транспорт, 46дет, в кор-ке",,1,1,Китай,"Игрушечные продукты",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://active-kids.com.ua/upload/images/627008051.jpg
